keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
habitat fragment,habitat fragmentation,2841,NA,NA,1
reproduct,reproduction,2839,NA,1,NA
organ pollut,organic pollutants,2833,NA,NA,1
signific correl,significantly correlated,2827,0,NA,NA
result demonstr,results demonstrate,2824,0,NA,NA
close relat,closely related,2762,0,NA,NA
grass,grass,2758,0,NA,NA
show signific,showed significant,2757,0,NA,NA
anim experi,animal experiment,2751,0,NA,NA
speci distribut,species distribution,2751,0,NA,NA
quantit trait locus,quantitative trait locus,2744,NA,1,NA
british ecolog,british ecological,2716,0,NA,NA
british ecolog societi,british ecological society,2716,0,NA,NA
season variat,seasonal variation,2705,NA,NA,1
chemic composit,chemical composition,2704,NA,1,NA
electron microscopi,electron microscopy,2697,0,NA,NA
studi show,study showed,2693,0,NA,NA
toxic,toxicity,2689,NA,NA,1
previous studi,previous studies,2687,0,NA,NA
genet marker,genetic marker,2675,0,NA,NA
studi aim,study aimed,2653,0,NA,NA
negat impact,negative impacts,2644,0,NA,NA
environment gradient,environmental gradient,2643,NA,NA,1
pollut remov,pollutant removal,2643,NA,?,1
biochar,biochar,2642,0,NA,NA
speci differ,species difference,2639,0,NA,NA
physiolog stress,physiological stress,2637,NA,1,NA
organ compound,organic compounds,2624,NA,NA,1
temperatur effect,temperature effect,2622,NA,NA,1
futur climat,future climate,2616,NA,NA,1
genet analysi,genetic analysis,2614,0,NA,NA
australia,australia,2598,0,NA,NA
geograph distribut,geographical distribution,2575,0,NA,NA
oxygen,oxygen,2575,NA,NA,1
agricultur,agriculture,2572,NA,NA,1
surfac function,surface functional,2572,0,NA,NA
gene,genes,2556,NA,1,NA
stress respons,stress response,2542,NA,1,NA
find suggest,findings suggest,2541,0,NA,NA
bioremedi,bioremediation,2526,NA,NA,1
poacea,poaceae,2526,0,NA,NA
poor understood,poorly understood,2524,0,NA,NA
physicochem properti,physicochemical properties,2522,NA,1,NA
transcript factor,transcription factor,2518,0,NA,NA
drug effect,drug effect,2516,NA,?,NA
phenotyp trait,phenotypic traits,2516,NA,1,NA
polym,polymer,2512,0,NA,NA
global climat chang,global climate change,2499,NA,NA,1
phenotyp variat,phenotypic variation,2496,NA,1,NA
fire,fire,2493,NA,NA,1
bacterium,bacterium,2491,0,NA,NA
phosphorus,phosphorus,2485,NA,NA,1
signific affect,significantly affected,2476,0,NA,NA
phenolog,phenology,2474,NA,1,NA
bacteria,bacteria,2468,0,NA,NA
relat water content,relative water content,2458,NA,1,NA
compon analysi,component analysis,2456,0,NA,NA
genom,genomics,2452,0,NA,NA
relat water,relative water,2449,NA,1,NA
hexapoda,hexapoda,2447,0,NA,NA
breed,breeding,2441,NA,1,NA
franci group,francis group,2439,0,NA,NA
taxonomi,taxonomy,2424,0,NA,NA
posit effect,positive effect,2423,0,NA,NA
signific decreas,significantly decreased,2412,0,NA,NA
anthropogen effect,anthropogenic effect,2411,NA,NA,1
environment variabl,environmental variables,2410,NA,NA,1
land use,land use,2406,NA,NA,1
relat abund,relative abundance,2406,NA,?,NA
organ carbon,organic carbon,2399,NA,1,NA
person trait,personality traits,2395,NA,1,NA
plant function trait,plant functional traits,2390,NA,1,NA
hydrogen bond,hydrogen bonds,2389,0,NA,NA
dispers,dispersal,2382,NA,1,NA
charcoal,charcoal,2376,NA,NA,1
veget,vegetation,2373,0,NA,NA
growth respons,growth response,2369,NA,1,NA
plant physiolog,plant physiology,2368,NA,1,NA
candid gene,candidate genes,2366,NA,1,NA
cultivar,cultivar,2366,0,NA,NA
local adapt,local adaptation,2366,NA,1,NA
protein,protein,2362,NA,1,NA
crop yield,crop yield,2344,NA,1,NA
climat warm,climate warming,2335,NA,NA,1
surfac function group,surface functional groups,2330,NA,1,NA
molecular marker,molecular markers,2316,NA,1,NA
activ carbon,activated carbon,2307,NA,NA,1
risk assess,risk assessment,2306,NA,NA,?
amino acid,amino acids,2296,NA,1,NA
chemic societi,chemical society,2291,0,NA,NA
herb,herb,2290,0,NA,NA
environment impact,environmental impact,2284,NA,NA,1
isotherm,isotherm,2283,NA,NA,1
common garden,common garden,2274,0,NA,NA
signific reduc,significantly reduced,2268,0,NA,NA
american chemic,american chemical,2260,0,NA,NA
american chemic societi,american chemical society,2260,0,NA,NA
chang climat,changing climate,2255,NA,NA,1
"adaptation, physiolog","adaptation, physiological",2254,NA,1,NA
"stress, physiolog","stress, physiological",2252,NA,NA,1
biomass product,biomass production,2249,NA,1,NA
nutrient,nutrients,2248,NA,NA,1
antioxid,antioxidant,2246,0,NA,NA
oxford univers,oxford university,2234,0,NA,NA
oxford univers press,oxford university press,2234,0,NA,NA
invas,invasion,2231,NA,NA,1
manag practic,management practices,2230,NA,NA,1
microplast,microplastics,2230,NA,NA,1
royal societi,royal society,2214,0,NA,NA
conserv,conservation,2204,0,NA,NA
climat,climate,2202,NA,NA,1
water qualiti,water quality,2201,NA,NA,1
leaf area,leaf area,2190,NA,1,NA
climat effect,climate effect,2189,NA,NA,1
spatial scale,spatial scales,2188,0,NA,NA
genet trait,genetic trait,2182,NA,1,NA
interact effect,interactive effects,2168,0,NA,NA
natur switzerland,nature switzerland,2168,0,NA,NA
springer natur switzerland,springer nature switzerland,2168,0,NA,NA
bioaccumul,bioaccumulation,2165,NA,NA,1
fungi,fungi,2164,0,NA,NA
genet resourc,genetic resources,2163,0,NA,NA
copper,copper,2160,NA,NA,1
bodi size,body size,2142,NA,1,NA
physic chemistri,physical chemistry,2138,NA,1,NA
negat affect,negatively affected,2121,0,NA,NA
genet improv,genetic improvement,2119,0,NA,NA
adsorpt kinet,adsorption kinetics,2110,NA,1,NA
lead,lead,2109,0,NA,NA
sediment,sediment,2108,NA,NA,1
air pollut,air pollution,2103,NA,NA,1
studi suggest,study suggests,2102,0,NA,NA
classif,classification,2101,0,NA,NA
recent year,recent years,2093,0,NA,NA
invertebr,invertebrate,2089,0,NA,NA
ecolog trait,ecological traits,2084,NA,1,NA
qualiti trait,quality traits,2083,NA,1,NA
ave,aves,2081,0,NA,NA
surfac area,surface area,2079,0,NA,NA
import trait,important traits,2078,NA,1,NA
growth trait,growth traits,2074,NA,1,NA
oxid stress,oxidative stress,2074,NA,1,NA
sewag,sewage,2071,NA,NA,1
fit,fitness,2062,NA,1,NA
result highlight,results highlight,2056,0,NA,NA
futur research,future research,2049,0,NA,NA
chemic structur,chemical structure,2038,NA,1,NA
kinet,kinetics,2030,0,NA,NA
chlorophyl,chlorophyll,2028,NA,1,NA
woodi plant,woody plant,2021,0,NA,NA
remov effici,removal efficiency,2020,NA,1,NA
farm system,farming systems,2008,0,NA,NA
oryza sativa,oryza sativa,1997,0,NA,NA
life histori,life history,1987,NA,1,NA
popul densiti,population density,1978,NA,?,NA
cluster analysi,cluster analysis,1977,0,NA,NA
popul structur,population structure,1977,0,NA,NA
transform infrar spectroscopi,transform infrared spectroscopy,1972,0,NA,NA
regress analysi,regression analysis,1969,0,NA,NA
particl size,particle size,1968,NA,NA,?
human health,human health,1967,NA,1,NA
bacteria (microorganisms),bacteria (microorganisms),1965,0,NA,NA
gene express regul,gene expression regulation,1963,0,NA,NA
plant respons,plant responses,1963,0,NA,NA
rice,rice,1960,0,NA,NA
age,aged,1957,0,NA,NA
larg number,large number,1952,0,NA,NA
wetland,wetland,1940,0,NA,NA
metal,metals,1937,NA,NA,1
signific lower,significantly lower,1935,0,NA,NA
speci specif,species specificity,1934,0,NA,NA
eutroph,eutrophication,1928,NA,NA,1
genome-wid associ studi,genome-wide association study,1924,0,NA,NA
primari product,primary production,1922,NA,1,NA
popul genet,population genetics,1921,0,NA,NA
studi demonstr,study demonstrates,1919,0,NA,NA
aquat environ,aquatic environment,1913,0,NA,NA
block design,block design,1913,0,NA,NA
soil moistur,soil moisture,1909,NA,NA,1
studi investig,study investigated,1908,0,NA,NA
field condit,field conditions,1906,0,NA,NA
specif surfac,specific surface,1897,0,NA,NA
mortal,mortality,1896,NA,1,NA
germin,germination,1894,NA,1,NA
function morpholog,functional morphology,1888,NA,1,NA
advers effect,adverse effects,1886,0,NA,NA
water suppli,water supply,1886,NA,NA,1
nitrogen fertil,nitrogen fertilization,1882,NA,NA,1
molecular weight,molecular weight,1874,NA,1,NA
plant protein,plant proteins,1874,NA,1,NA
disturb,disturbance,1870,NA,NA,1
remain unclear,remains unclear,1866,0,NA,NA
studi reveal,study revealed,1865,0,NA,NA
decidu tree,deciduous tree,1856,0,NA,NA
invertebrata,invertebrata,1856,0,NA,NA
nanoparticl,nanoparticles,1856,0,NA,NA
oxygen-contain function group,oxygen-containing functional groups,1853,NA,1,NA
select pressur,selection pressures,1844,0,NA,NA
reproduct trait,reproductive traits,1843,NA,1,NA
abiot factor,abiotic factors,1841,NA,NA,1
shrub,shrub,1839,0,NA,NA
aboveground biomass,aboveground biomass,1830,NA,1,NA
zea may,zea mays,1829,0,NA,NA
communiti respons,community response,1818,0,NA,NA
lake,lakes,1818,0,NA,NA
factor affect,factors affecting,1817,0,NA,NA
wastewat,wastewater,1813,NA,NA,1
trophic level,trophic levels,1805,NA,?,NA
aquat ecosystem,aquatic ecosystems,1799,0,NA,NA
maiz,maize,1797,0,NA,NA
fungus,fungus,1796,0,NA,NA
alien speci,alien species,1795,NA,NA,1
dicotyledon,dicotyledon,1792,0,NA,NA
nativ plant,native plant,1791,0,NA,NA
freshwat ecosystem,freshwater ecosystem,1788,0,NA,NA
protein content,protein content,1785,0,NA,NA
biodegrad,biodegradation,1784,NA,NA,1
result provid,results provide,1781,0,NA,NA
adsorpt mechan,adsorption mechanism,1778,0,NA,NA
natur select,natural selection,1778,0,NA,NA
brazil,brazil,1775,0,NA,NA
land use chang,land use change,1772,NA,NA,1
spatial distribut,spatial distribution,1771,0,NA,NA
adapt trait,adaptive traits,1767,NA,1,NA
pollin,pollination,1760,NA,1,NA
environment protect,environmental protection,1754,0,NA,NA
increas temperatur,increasing temperature,1754,NA,NA,1
adsorpt process,adsorption process,1751,NA,1,NA
concentr (parameter),concentration (parameter),1749,0,NA,NA
trait variat,trait variation,1747,NA,1,NA
oxygen-contain function,oxygen-containing functional,1746,NA,1,NA
signific posit,significant positive,1738,0,NA,NA
hybrid,hybridization,1730,0,NA,NA
chemic analysi,chemical analysis,1727,0,NA,NA
phylogenet,phylogenetics,1725,0,NA,NA
mechan under,mechanisms underlying,1724,0,NA,NA
quantit trait loci,quantitative trait loci,1723,NA,1,NA
metal ion,metal ions,1720,NA,NA,1
climat variabl,climatic variables,1712,NA,NA,1
diseas resist,disease resistance,1712,NA,1,NA
conifer tree,coniferous tree,1711,0,NA,NA
ecolog impact,ecological impact,1708,0,NA,NA
hydraul conduct,hydraulic conductivity,1704,NA,1,NA
yield compon,yield components,1704,NA,1,NA
polymeras chain reaction,polymerase chain reaction,1701,0,NA,NA
quantit analysi,quantitative analysis,1699,0,NA,NA
correl analysi,correlation analysis,1698,0,NA,NA
manag strategi,management strategies,1691,0,NA,NA
fatti acid,fatty acids,1684,NA,1,NA
transgen plant,transgenic plant,1684,0,NA,NA
degrad,degradation,1678,NA,NA,1
plant function group,plant functional groups,1677,NA,1,NA
angiosperm,angiosperm,1674,0,NA,NA
plant invas,plant invasion,1673,NA,NA,1
biolog evolut,biological evolution,1671,0,NA,NA
biolog model,biological model,1671,0,NA,NA
genet correl,genetic correlations,1671,0,NA,NA
american societi,american society,1670,0,NA,NA
antioxid enzym,antioxidant enzymes,1661,0,NA,NA
zinc,zinc,1661,NA,?,NA
insect,insect,1655,0,NA,NA
analysi,analysis,1654,0,NA,NA
forest manag,forest management,1651,0,NA,NA
eurasia,eurasia,1650,0,NA,NA
exot speci,exotic species,1647,NA,NA,1
pyrolysi,pyrolysis,1646,0,NA,NA
urban,urbanization,1645,NA,NA,1
conserv manag,conservation management,1642,0,NA,NA
habitat type,habitat type,1641,0,NA,NA
intraspecif variat,intraspecific variation,1640,NA,1,NA
x ray diffract,x ray diffraction,1635,0,NA,NA
pollut effect,pollution effect,1634,NA,NA,1
legum,legume,1632,0,NA,NA
molecular mechan,molecular mechanisms,1628,0,NA,NA
effici,efficiency,1626,0,NA,NA
terrestri ecosystem,terrestrial ecosystems,1623,0,NA,NA
major clinic studi,major clinical study,1613,0,NA,NA
natur popul,natural populations,1612,0,NA,NA
harvest index,harvest index,1611,0,NA,NA
invas success,invasion success,1610,NA,?,NA
associ studi,association study,1608,0,NA,NA
agricultur product,agricultural production,1605,0,NA,NA
transcriptom,transcriptome,1605,0,NA,NA
water use effici,water use efficiency,1605,NA,1,NA
communiti dynam,community dynamics,1601,0,NA,NA
biochemistri,biochemistry,1598,0,NA,NA
fruit,fruit,1596,0,NA,NA
popul growth,population growth,1593,NA,1,NA
busi media dordrecht,business media dordrecht,1592,0,NA,NA
media dordrecht,media dordrecht,1592,0,NA,NA
rang expans,range expansion,1592,NA,1,NA
evolut publish,evolution published,1582,0,NA,NA
chromosom map,chromosome mapping,1579,0,NA,NA
combin effect,combined effects,1579,0,NA,NA
current studi,current study,1577,0,NA,NA
growth stage,growth stages,1574,NA,1,NA
nutrient avail,nutrient availability,1569,NA,NA,1
statist signific,statistically significant,1568,0,NA,NA
genet basi,genetic basis,1563,0,NA,NA
"metals, heavi","metals, heavy",1563,NA,NA,1
nutrient cycl,nutrient cycling,1563,NA,1,NA
sever drought,severe drought,1560,NA,NA,1
show higher,showed higher,1556,0,NA,NA
communiti assembl,community assembly,1554,0,NA,NA
iron,iron,1552,NA,NA,1
allel,allele,1550,0,NA,NA
relat import,relative importance,1540,0,NA,NA
leaf,leaf,1538,NA,1,NA
alga,algae,1536,0,NA,NA
carbon isotop,carbon isotope,1535,0,NA,NA
differ signific,differed significantly,1535,0,NA,NA
marin ecosystem,marine ecosystem,1533,0,NA,NA
drought respons,drought response,1531,NA,NA,1
genet engin,genetic engineering,1528,0,NA,NA
precipit,precipitation,1528,NA,NA,1
function role,functional role,1520,NA,1,NA
complet block,complete block,1519,0,NA,NA
water manag,water management,1518,NA,NA,1
wast water manag,waste water management,1516,NA,NA,1
x-ray diffract,x-ray diffraction,1514,0,NA,NA
predict,prediction,1510,0,NA,NA
biomass alloc,biomass allocation,1509,NA,1,NA
ecosystem process,ecosystem processes,1509,NA,1,NA
macroinvertebr,macroinvertebrate,1509,0,NA,NA
signal transduct,signal transduction,1509,0,NA,NA
adsorpt isotherm,adsorption isotherms,1508,0,NA,NA
dye,dyes,1507,0,NA,NA
genome-wid associ,genome-wide association,1505,0,NA,NA
adsorb,adsorbent,1498,0,NA,NA
multivari analysi,multivariate analysis,1481,0,NA,NA
pollut exposur,pollution exposure,1480,NA,NA,1
toler,tolerance,1479,NA,1,NA
chemic remov (water treatment),chemicals removal (water treatment),1473,NA,NA,1
water regim,water regimes,1472,NA,NA,1
phenol,phenols,1464,NA,NA,1
superoxid dismutas,superoxide dismutase,1463,0,NA,NA
berlin heidelberg,berlin heidelberg,1462,0,NA,NA
maximum adsorpt,maximum adsorption,1461,NA,1,NA
anim tissu,animal tissue,1457,NA,1,NA
springer-verlag berlin,springer-verlag berlin,1456,0,NA,NA
springer-verlag berlin heidelberg,springer-verlag berlin heidelberg,1456,0,NA,NA
wast water,waste water,1455,NA,NA,1
"wast disposal, fluid","waste disposal, fluid",1451,NA,NA,1
plant divers,plant diversity,1450,NA,?,NA
higher level,higher levels,1449,0,NA,NA
reactiv oxygen speci,reactive oxygen species,1447,0,NA,NA
environment disturb,environmental disturbance,1445,NA,NA,1
speci show,species showed,1445,0,NA,NA
environ,environment,1444,0,NA,NA
human cell,human cell,1444,NA,1,NA
differenti express,differentially expressed,1440,0,NA,NA
inbr line,inbred lines,1440,0,NA,NA
genet differenti,genetic differentiation,1438,0,NA,NA
matter content,matter content,1438,0,NA,NA
salin,salinity,1438,NA,NA,1
import factor,important factor,1437,0,NA,NA
evolutionari biolog,evolutionary biology,1434,0,NA,NA
bacteri strain,bacterial strain,1430,0,NA,NA
herit,heritability,1430,0,NA,NA
agricultur land,agricultural land,1429,NA,NA,1
remot sens,remote sensing,1426,0,NA,NA
environment exposur,environmental exposure,1424,NA,NA,1
cell prolifer,cell proliferation,1423,NA,1,NA
cultiv,cultivation,1423,0,NA,NA
vascular plant,vascular plant,1423,0,NA,NA
nativ rang,native range,1416,0,NA,NA
north american,north american,1416,0,NA,NA
trade-off,trade-off,1410,0,NA,NA
drought stress condit,drought stress conditions,1406,NA,NA,1
botan societi,botanical society,1400,0,NA,NA
provid insight,provide insights,1398,0,NA,NA
carbon cycl,carbon cycle,1397,NA,NA,1
function respons,functional response,1396,NA,1,NA
random complet,randomized complete,1396,0,NA,NA
morpholog characterist,morphological characteristics,1394,NA,1,NA
mediterranean environ,mediterranean environment,1393,0,NA,NA
microbi activ,microbial activity,1393,NA,1,NA
hydrogen-ion concentr,hydrogen-ion concentration,1392,NA,1,NA
popul declin,population decline,1392,NA,1,NA
singl nucleotid,single nucleotide,1392,0,NA,NA
larva,larva,1390,0,NA,NA
blackwel publish,blackwell publishing,1389,0,NA,NA
fungal communiti,fungal community,1389,0,NA,NA
genet select,genetic selection,1387,0,NA,NA
"models, biolog","models, biological",1384,0,NA,NA
water contamin,water contamination,1383,NA,NA,1
random complet block,randomized complete block,1381,0,NA,NA
predat,predation,1379,0,NA,NA
restor ecolog,restoration ecology,1377,0,NA,NA
effluent,effluents,1375,NA,NA,1
reactiv oxygen,reactive oxygen,1370,NA,?,?
nucleotid polymorph,nucleotide polymorphisms,1369,0,NA,NA
indirect effect,indirect effects,1366,0,NA,NA
marker-assist select,marker-assisted selection,1365,0,NA,NA
plant seed,plant seed,1363,NA,1,NA
futur studi,future studies,1361,0,NA,NA
acclimat,acclimatization,1355,NA,1,NA
function composit,functional composition,1354,NA,1,NA
protein express,protein expression,1354,NA,1,NA
sustain develop,sustainable development,1354,0,NA,NA
humic substanc,humic substances,1353,NA,1,NA
x-ray photoelectron,x-ray photoelectron,1352,0,NA,NA
aromat compound,aromatic compounds,1351,NA,1,NA
beetl,beetle,1348,0,NA,NA
bacteri communiti,bacterial community,1344,0,NA,NA
photoelectron spectroscopi,photoelectron spectroscopy,1341,0,NA,NA
crop product,crop production,1339,NA,1,NA
decomposit,decomposition,1339,NA,1,NA
heat,heat,1339,NA,NA,1
mammal,mammal,1339,0,NA,NA
wiley period,wiley periodicals,1339,0,NA,NA
bioindic,bioindicator,1337,0,NA,NA
water temperatur,water temperature,1337,NA,NA,1
water purif,water purification,1333,NA,NA,1
improv drought,improve drought,1329,NA,NA,1
complet block design,complete block design,1325,0,NA,NA
nitrogen content,nitrogen content,1325,NA,1,NA
signific improv,significantly improved,1325,0,NA,NA
wheat cultivar,wheat cultivars,1325,0,NA,NA
oxygen speci,oxygen species,1324,0,NA,NA
product,productivity,1324,NA,1,NA
vulner,vulnerability,1324,NA,1,NA
hydroxyl group,hydroxyl group,1322,0,NA,NA
surfac water,surface water,1322,0,NA,NA
reproduct success,reproductive success,1320,NA,1,NA
temper forest,temperate forest,1320,0,NA,NA
linear model,linear models,1316,0,NA,NA
contamin,contamination,1311,NA,NA,1
anim model,animal model,1309,0,NA,NA
pesticid,pesticide,1309,NA,NA,1
signific influenc,significantly influenced,1309,0,NA,NA
genet structur,genetic structure,1307,NA,1,NA
microorgan,microorganisms,1306,0,NA,NA
strong influenc,strongly influenced,1306,0,NA,NA
"gene express regulation, plant","gene expression regulation, plant",1305,NA,1,NA
biotic stress,biotic stress,1304,NA,NA,1
colon,colonization,1302,0,NA,NA
mediterranean region,mediterranean region,1300,0,NA,NA
structur equat model,structural equation modeling,1298,0,NA,NA
affect plant,affect plant,1297,0,NA,NA
endang speci,endangered species,1297,0,NA,NA
studi highlight,study highlights,1297,0,NA,NA
genom region,genomic regions,1293,0,NA,NA
