keyphrase_stem,keyphrase_eg,count,valid,trait,globalchange
chang climat,changing climate,2255,,,1
"adaptation, physiolog","adaptation, physiological",2254,,1,
"stress, physiolog","stress, physiological",2252,,,1
biomass product,biomass production,2249,,1,
nutrient,nutrients,2248,,,1
antioxid,antioxidant,2246,0,,
oxford univers,oxford university,2234,0,,
oxford univers press,oxford university press,2234,0,,
invas,invasion,2231,,,1
manag practic,management practices,2230,,,1
microplast,microplastics,2230,,,1
royal societi,royal society,2214,0,,
conserv,conservation,2204,0,,
climat,climate,2202,,,1
water qualiti,water quality,2201,,,1
leaf area,leaf area,2190,,1,
climat effect,climate effect,2189,,,1
spatial scale,spatial scales,2188,0,,
genet trait,genetic trait,2182,,1,
interact effect,interactive effects,2168,0,,
natur switzerland,nature switzerland,2168,0,,
springer natur switzerland,springer nature switzerland,2168,0,,
bioaccumul,bioaccumulation,2165,,,1
fungi,fungi,2164,0,,
genet resourc,genetic resources,2163,0,,
copper,copper,2160,,,1
bodi size,body size,2142,,1,
physic chemistri,physical chemistry,2138,,1,
negat affect,negatively affected,2121,0,,
genet improv,genetic improvement,2119,0,,
adsorpt kinet,adsorption kinetics,2110,,1,
lead,lead,2109,0,,
sediment,sediment,2108,,,1
air pollut,air pollution,2103,,,1
studi suggest,study suggests,2102,0,,
classif,classification,2101,0,,
recent year,recent years,2093,0,,
invertebr,invertebrate,2089,0,,
ecolog trait,ecological traits,2084,,1,
qualiti trait,quality traits,2083,,1,
ave,aves,2081,0,,
surfac area,surface area,2079,0,,
import trait,important traits,2078,,1,
growth trait,growth traits,2074,,1,
oxid stress,oxidative stress,2074,,1,
sewag,sewage,2071,,,1
fit,fitness,2062,,1,
result highlight,results highlight,2056,0,,
futur research,future research,2049,0,,
chemic structur,chemical structure,2038,,1,
kinet,kinetics,2030,0,,
chlorophyl,chlorophyll,2028,,1,
woodi plant,woody plant,2021,0,,
remov effici,removal efficiency,2020,,1,
farm system,farming systems,2008,0,,
oryza sativa,oryza sativa,1997,0,,
life histori,life history,1987,,1,
popul densiti,population density,1978,,?,
cluster analysi,cluster analysis,1977,0,,
popul structur,population structure,1977,0,,
transform infrar spectroscopi,transform infrared spectroscopy,1972,0,,
regress analysi,regression analysis,1969,0,,
particl size,particle size,1968,,,?
human health,human health,1967,,1,
bacteria (microorganisms),bacteria (microorganisms),1965,0,,
gene express regul,gene expression regulation,1963,0,,
plant respons,plant responses,1963,0,,
rice,rice,1960,0,,
age,aged,1957,0,,
larg number,large number,1952,0,,
wetland,wetland,1940,0,,
metal,metals,1937,,,1
signific lower,significantly lower,1935,0,,
speci specif,species specificity,1934,0,,
eutroph,eutrophication,1928,,,1
genome-wid associ studi,genome-wide association study,1924,0,,
primari product,primary production,1922,,1,
popul genet,population genetics,1921,0,,
studi demonstr,study demonstrates,1919,0,,
aquat environ,aquatic environment,1913,0,,
block design,block design,1913,0,,
soil moistur,soil moisture,1909,,,1
studi investig,study investigated,1908,0,,
field condit,field conditions,1906,0,,
specif surfac,specific surface,1897,0,,
mortal,mortality,1896,,1,
germin,germination,1894,,1,
function morpholog,functional morphology,1888,,1,
advers effect,adverse effects,1886,0,,
water suppli,water supply,1886,,,1
nitrogen fertil,nitrogen fertilization,1882,,,1
molecular weight,molecular weight,1874,,1,
plant protein,plant proteins,1874,,1,
disturb,disturbance,1870,,,1
remain unclear,remains unclear,1866,0,,
studi reveal,study revealed,1865,0,,
decidu tree,deciduous tree,1856,0,,
invertebrata,invertebrata,1856,0,,
nanoparticl,nanoparticles,1856,0,,
oxygen-contain function group,oxygen-containing functional groups,1853,,1,
select pressur,selection pressures,1844,0,,
reproduct trait,reproductive traits,1843,,1,
abiot factor,abiotic factors,1841,,,1
shrub,shrub,1839,0,,
aboveground biomass,aboveground biomass,1830,,1,
zea may,zea mays,1829,0,,
communiti respons,community response,1818,0,,
lake,lakes,1818,0,,
factor affect,factors affecting,1817,0,,
wastewat,wastewater,1813,,,1
trophic level,trophic levels,1805,,?,
aquat ecosystem,aquatic ecosystems,1799,0,,
maiz,maize,1797,0,,
fungus,fungus,1796,0,,
alien speci,alien species,1795,,,1
dicotyledon,dicotyledon,1792,0,,
nativ plant,native plant,1791,0,,
freshwat ecosystem,freshwater ecosystem,1788,0,,
protein content,protein content,1785,0,,
biodegrad,biodegradation,1784,,,1
result provid,results provide,1781,0,,
adsorpt mechan,adsorption mechanism,1778,0,,
natur select,natural selection,1778,0,,
brazil,brazil,1775,0,,
land use chang,land use change,1772,,,1
spatial distribut,spatial distribution,1771,0,,
adapt trait,adaptive traits,1767,,1,
pollin,pollination,1760,,1,
environment protect,environmental protection,1754,0,,
increas temperatur,increasing temperature,1754,,,1
adsorpt process,adsorption process,1751,,1,
concentr (parameter),concentration (parameter),1749,0,,
trait variat,trait variation,1747,,1,
oxygen-contain function,oxygen-containing functional,1746,,1,
signific posit,significant positive,1738,0,,
hybrid,hybridization,1730,0,,
chemic analysi,chemical analysis,1727,0,,
phylogenet,phylogenetics,1725,0,,
mechan under,mechanisms underlying,1724,0,,
quantit trait loci,quantitative trait loci,1723,,1,
metal ion,metal ions,1720,,,1
climat variabl,climatic variables,1712,,,1
diseas resist,disease resistance,1712,,1,
conifer tree,coniferous tree,1711,0,,
ecolog impact,ecological impact,1708,0,,
hydraul conduct,hydraulic conductivity,1704,,1,
yield compon,yield components,1704,,1,
polymeras chain reaction,polymerase chain reaction,1701,0,,
quantit analysi,quantitative analysis,1699,0,,
correl analysi,correlation analysis,1698,0,,
manag strategi,management strategies,1691,0,,
fatti acid,fatty acids,1684,,1,
transgen plant,transgenic plant,1684,0,,
degrad,degradation,1678,,,1
plant function group,plant functional groups,1677,,1,
angiosperm,angiosperm,1674,0,,
plant invas,plant invasion,1673,,,1
biolog evolut,biological evolution,1671,0,,
biolog model,biological model,1671,0,,
genet correl,genetic correlations,1671,0,,
american societi,american society,1670,0,,
antioxid enzym,antioxidant enzymes,1661,0,,
zinc,zinc,1661,,?,
insect,insect,1655,0,,
analysi,analysis,1654,0,,
forest manag,forest management,1651,0,,
eurasia,eurasia,1650,0,,
exot speci,exotic species,1647,,,1
pyrolysi,pyrolysis,1646,0,,
urban,urbanization,1645,,,1
conserv manag,conservation management,1642,0,,
habitat type,habitat type,1641,0,,
intraspecif variat,intraspecific variation,1640,,1,
x ray diffract,x ray diffraction,1635,0,,
pollut effect,pollution effect,1634,,,1
legum,legume,1632,0,,
molecular mechan,molecular mechanisms,1628,0,,
effici,efficiency,1626,0,,
terrestri ecosystem,terrestrial ecosystems,1623,0,,
major clinic studi,major clinical study,1613,0,,
natur popul,natural populations,1612,0,,
harvest index,harvest index,1611,0,,
invas success,invasion success,1610,,?,
associ studi,association study,1608,0,,
agricultur product,agricultural production,1605,0,,
transcriptom,transcriptome,1605,0,,
water use effici,water use efficiency,1605,,1,
communiti dynam,community dynamics,1601,0,,
biochemistri,biochemistry,1598,0,,
fruit,fruit,1596,0,,
popul growth,population growth,1593,,1,
busi media dordrecht,business media dordrecht,1592,0,,
media dordrecht,media dordrecht,1592,0,,
rang expans,range expansion,1592,,1,
evolut publish,evolution published,1582,0,,
chromosom map,chromosome mapping,1579,0,,
combin effect,combined effects,1579,0,,
current studi,current study,1577,0,,
growth stage,growth stages,1574,,1,
nutrient avail,nutrient availability,1569,,,1
statist signific,statistically significant,1568,0,,
genet basi,genetic basis,1563,0,,
"metals, heavi","metals, heavy",1563,,,1
nutrient cycl,nutrient cycling,1563,,1,
sever drought,severe drought,1560,,,1
show higher,showed higher,1556,0,,
communiti assembl,community assembly,1554,0,,
iron,iron,1552,,,1
allel,allele,1550,0,,
relat import,relative importance,1540,0,,
leaf,leaf,1538,,1,
alga,algae,1536,0,,
carbon isotop,carbon isotope,1535,0,,
differ signific,differed significantly,1535,0,,
marin ecosystem,marine ecosystem,1533,0,,
drought respons,drought response,1531,,,1
genet engin,genetic engineering,1528,0,,
precipit,precipitation,1528,,,1
function role,functional role,1520,,1,
complet block,complete block,1519,0,,
water manag,water management,1518,,,1
wast water manag,waste water management,1516,,,1
x-ray diffract,x-ray diffraction,1514,0,,
predict,prediction,1510,0,,
biomass alloc,biomass allocation,1509,,1,
ecosystem process,ecosystem processes,1509,,1,
macroinvertebr,macroinvertebrate,1509,0,,
signal transduct,signal transduction,1509,0,,
adsorpt isotherm,adsorption isotherms,1508,0,,
dye,dyes,1507,0,,
genome-wid associ,genome-wide association,1505,0,,
adsorb,adsorbent,1498,0,,
multivari analysi,multivariate analysis,1481,0,,
pollut exposur,pollution exposure,1480,,,1
toler,tolerance,1479,,1,
chemic remov (water treatment),chemicals removal (water treatment),1473,,,1
water regim,water regimes,1472,,,1
phenol,phenols,1464,,,1
superoxid dismutas,superoxide dismutase,1463,0,,
berlin heidelberg,berlin heidelberg,1462,0,,
maximum adsorpt,maximum adsorption,1461,,1,
anim tissu,animal tissue,1457,,1,
springer-verlag berlin,springer-verlag berlin,1456,0,,
springer-verlag berlin heidelberg,springer-verlag berlin heidelberg,1456,0,,
wast water,waste water,1455,,,1
"wast disposal, fluid","waste disposal, fluid",1451,,,1
plant divers,plant diversity,1450,,?,
higher level,higher levels,1449,0,,
reactiv oxygen speci,reactive oxygen species,1447,0,,
environment disturb,environmental disturbance,1445,,,1
speci show,species showed,1445,0,,
environ,environment,1444,0,,
human cell,human cell,1444,,1,
differenti express,differentially expressed,1440,0,,
inbr line,inbred lines,1440,0,,
genet differenti,genetic differentiation,1438,0,,
matter content,matter content,1438,0,,
salin,salinity,1438,,,1
import factor,important factor,1437,0,,
evolutionari biolog,evolutionary biology,1434,0,,
bacteri strain,bacterial strain,1430,0,,
herit,heritability,1430,0,,
agricultur land,agricultural land,1429,,,1
remot sens,remote sensing,1426,0,,
environment exposur,environmental exposure,1424,,,1
cell prolifer,cell proliferation,1423,,1,
cultiv,cultivation,1423,0,,
vascular plant,vascular plant,1423,0,,
nativ rang,native range,1416,0,,
north american,north american,1416,0,,
trade-off,trade-off,1410,0,,
drought stress condit,drought stress conditions,1406,,,1
botan societi,botanical society,1400,0,,
provid insight,provide insights,1398,0,,
carbon cycl,carbon cycle,1397,,,1
function respons,functional response,1396,,1,
random complet,randomized complete,1396,0,,
morpholog characterist,morphological characteristics,1394,,1,
mediterranean environ,mediterranean environment,1393,0,,
microbi activ,microbial activity,1393,,1,
hydrogen-ion concentr,hydrogen-ion concentration,1392,,1,
popul declin,population decline,1392,,1,
singl nucleotid,single nucleotide,1392,0,,
larva,larva,1390,0,,
blackwel publish,blackwell publishing,1389,0,,
fungal communiti,fungal community,1389,0,,
genet select,genetic selection,1387,0,,
"models, biolog","models, biological",1384,0,,
water contamin,water contamination,1383,,,1
random complet block,randomized complete block,1381,0,,
predat,predation,1379,0,,
restor ecolog,restoration ecology,1377,0,,
effluent,effluents,1375,,,1
reactiv oxygen,reactive oxygen,1370,,?,?
nucleotid polymorph,nucleotide polymorphisms,1369,0,,
indirect effect,indirect effects,1366,0,,
marker-assist select,marker-assisted selection,1365,0,,
plant seed,plant seed,1363,,1,
futur studi,future studies,1361,0,,
acclimat,acclimatization,1355,,1,
function composit,functional composition,1354,,1,
protein express,protein expression,1354,,1,
sustain develop,sustainable development,1354,0,,
humic substanc,humic substances,1353,,1,
x-ray photoelectron,x-ray photoelectron,1352,0,,
aromat compound,aromatic compounds,1351,,1,
beetl,beetle,1348,0,,
bacteri communiti,bacterial community,1344,0,,
photoelectron spectroscopi,photoelectron spectroscopy,1341,0,,
crop product,crop production,1339,,1,
decomposit,decomposition,1339,,1,
heat,heat,1339,,,1
mammal,mammal,1339,0,,
wiley period,wiley periodicals,1339,0,,
bioindic,bioindicator,1337,0,,
water temperatur,water temperature,1337,,,1
water purif,water purification,1333,,,1
improv drought,improve drought,1329,,,1
complet block design,complete block design,1325,0,,
nitrogen content,nitrogen content,1325,,1,
signific improv,significantly improved,1325,0,,
wheat cultivar,wheat cultivars,1325,0,,
oxygen speci,oxygen species,1324,0,,
product,productivity,1324,,1,
vulner,vulnerability,1324,,1,
hydroxyl group,hydroxyl group,1322,0,,
surfac water,surface water,1322,0,,
reproduct success,reproductive success,1320,,1,
temper forest,temperate forest,1320,0,,
linear model,linear models,1316,0,,
contamin,contamination,1311,,,1
anim model,animal model,1309,0,,
pesticid,pesticide,1309,,,1
signific influenc,significantly influenced,1309,0,,
genet structur,genetic structure,1307,,1,
microorgan,microorganisms,1306,0,,
strong influenc,strongly influenced,1306,0,,
"gene express regulation, plant","gene expression regulation, plant",1305,,1,
biotic stress,biotic stress,1304,,,1
colon,colonization,1302,0,,
mediterranean region,mediterranean region,1300,0,,
structur equat model,structural equation modeling,1298,0,,
affect plant,affect plant,1297,0,,
endang speci,endangered species,1297,0,,
studi highlight,study highlights,1297,0,,
genom region,genomic regions,1293,0,,
biofilm,biofilm,1291,0,,
chang scenario,change scenarios,1291,0,,
creativ common,creative commons,1291,0,,
bread wheat,bread wheat,1289,0,,
ecolog model,ecological modeling,1288,0,,
plant biomass,plant biomass,1284,,1,
trait includ,traits including,1282,,1,
complex trait,complex traits,1281,,1,
carboxyl acid,carboxylic acid,1276,0,,
isol and purif,isolation and purification,1276,0,,
maximum adsorpt capac,maximum adsorption capacity,1275,,1,
development stage,developmental stage,1273,0,,
aquat organ,aquatic organisms,1271,0,,
high signific,highly significant,1269,0,,
spain,spain,1268,0,,
fertil applic,fertilizer application,1267,,,1
metal pollut,metal pollution,1262,,,1
higher temperatur,higher temperatures,1260,,,1
woodi speci,woody species,1260,0,,
x-ray photoelectron spectroscopi,x-ray photoelectron spectroscopy,1260,0,,
agronomi,agronomy,1259,0,,
transmiss electron microscopi,transmission electron microscopy,1259,0,,
ion,ions,1257,0,,
carbohydr,carbohydrate,1255,,1,
mass spectrometri,mass spectrometry,1253,0,,
urban environ,urban environments,1252,,,1
trait valu,trait values,1251,,1,
"biodegradation, environment","biodegradation, environmental",1247,,,1
pathogen,pathogenicity,1245,,1,
chromium,chromium,1243,,,1
recent studi,recent studies,1243,0,,
intern publish,international publishing,1241,0,,
springer intern,springer international,1241,0,,
springer intern publish,springer international publishing,1241,0,,
time factor,time factors,1238,0,,
toler trait,tolerance traits,1236,,1,
citi,city,1233,,,1
coral reef,coral reefs,1233,0,,
product system,production systems,1233,0,,
high temperatur,high temperature,1232,,,1
ion exchang,ion exchange,1232,0,,
resourc avail,resource availability,1232,0,,
synthesi,synthesis,1230,0,,
sorption,sorption,1229,0,,
dna sequenc,dna sequence,1228,0,,
herbivori,herbivory,1226,,1,
stabl isotop,stable isotope,1224,0,,
wheat genotyp,wheat genotypes,1224,0,,
domin speci,dominant species,1223,0,,
ecophysiolog,ecophysiology,1220,,1,
yield potenti,yield potential,1220,,1,
itali,italy,1219,0,,
phosphat,phosphate,1218,,1,
carbon sequestr,carbon sequestration,1217,,1,
hydrophob,hydrophobicity,1216,,1,
random complet block design,randomized complete block design,1215,0,,
wood,wood,1215,,1,
carboxyl group,carboxyl group,1213,,1,
competit,competition,1213,0,,
graphen oxid,graphene oxide,1212,0,,
cattl,cattle,1211,,,1
risk factor,risk factor,1210,0,,
pollut control,pollution control,1209,,,1
studi examin,study examined,1208,0,,
plant develop,plant development,1206,,1,
regener,regeneration,1206,0,,
mammalia,mammalia,1203,0,,
biogeochemistri,biogeochemistry,1201,0,,
plantat,plantation,1199,0,,
control condit,controlled conditions,1197,0,,
field studi,field study,1196,0,,
model,modeling,1196,0,,
south america,south america,1196,0,,
humic acid,humic acid,1195,0,,
nitrat,nitrate,1195,,,1
water resourc,water resources,1193,,,1
nucleotid sequenc,nucleotide sequence,1192,0,,
semiarid region,semiarid region,1192,0,,
popul distribut,population distribution,1190,0,,
triticum,triticum,1189,0,,
chlorophyl fluoresc,chlorophyll fluorescence,1187,,1,
soil microbiolog,soil microbiology,1185,0,,
ecolog process,ecological processes,1179,0,,
heavi metal remov,heavy metal removal,1178,,,1
reaction kinet,reaction kinetics,1175,0,,
under mechan,underlying mechanisms,1175,0,,
provid evid,provide evidence,1174,0,,
remain poor,remain poorly,1168,0,,
food web,food web,1167,0,,
alien plant,alien plants,1166,,,1
marin environ,marine environment,1166,0,,
trait-bas approach,trait-based approach,1166,,?,
forest fragment,forest fragments,1163,,,1
kinet model,kinetic model,1163,0,,
trace element,trace elements,1163,,1,
abiot stress toler,abiotic stress tolerance,1162,,1,
great potenti,great potential,1162,0,,
isotherm model,isotherm model,1161,0,,
spatiotempor analysi,spatiotemporal analysis,1161,0,,
econom import,economically important,1160,0,,
field trial,field trials,1160,0,,
relat trait,related traits,1160,,1,
elev gradient,elevational gradient,1159,0,,
south africa,south africa,1159,0,,
adapt strategi,adaptation strategies,1157,0,,
nitrogen fixat,nitrogen fixation,1157,,1,
franc,france,1154,0,,
factor influenc,factors influencing,1152,0,,
contamin water,contaminated water,1150,,,1
ammonia,ammonia,1149,,,1
increas signific,increased significantly,1149,0,,
patholog,pathology,1146,0,,
cancer cell,cancer cells,1145,,1,
plant diseas,plant disease,1144,,1,
hydrogen peroxid,hydrogen peroxide,1143,0,,
public health,public health,1143,0,,
environment filter,environmental filtering,1141,,,1
genom sequenc,genome sequence,1141,,1,
coleoptera,coleoptera,1136,0,,
common attribut,commons attribution,1136,0,,
creativ common attribut,creative commons attribution,1136,0,,
geograph rang,geographic range,1135,,1,
recombin inbr,recombinant inbred,1134,0,,
root system,root system,1133,,1,
nanocomposit,nanocomposites,1131,0,,
non-nat speci,non-native species,1130,,,1
scienc press,science press,1130,0,,
thermal toler,thermal tolerance,1130,,1,
"crops, agricultur","crops, agricultural",1129,,,1
veget cover,vegetation cover,1129,,,1
canada,canada,1125,0,,
larg amount,large amount,1124,0,,
signific impact,significant impact,1123,0,,
growth promot,growth promoting,1122,0,,
soil properti,soil property,1122,,,1
phytoplankton,phytoplankton,1116,0,,
